
="",="(1)",="(2)",="(3)",="(4)"
="",="Analytic",="Interactive",="Analytic",="Interactive"

="Working Overtime: No",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Working Overtime: Yes",="3.600***",="2.544***",="3.228***",="5.278***"
="",="(0.378)",="(0.426)",="(0.511)",="(0.570)"

="Working under Pressure: Never",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Working under Pressure: Seldom",="11.46***",="8.539***",="12.01***",="6.323***"
="",="(1.140)",="(1.283)",="(1.376)",="(1.533)"

="Working under Pressure: Sometimes",="18.32***",="16.18***",="17.32***",="12.52***"
="",="(1.056)",="(1.188)",="(1.272)",="(1.417)"

="Working under Pressure: Frequently",="20.34***",="20.69***",="18.54***",="15.73***"
="",="(1.041)",="(1.171)",="(1.255)",="(1.399)"

="Monthly Wage",="0.0245***",="0.0266***",="0.0183***",="0.0152**"
="",="(0.00475)",="(0.00535)",="(0.00619)",="(0.00690)"

="Age",="-0.173***",="0.0667***",="-0.207***",="0.0331"
="",="(0.0159)",="(0.0179)",="(0.0193)",="(0.0216)"

="Education: Low",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Education: Middle",="9.548***",="11.97***",="6.504***",="8.364***"
="",="(0.662)",="(0.747)",="(0.723)",="(0.807)"

="Education: High",="25.27***",="25.18***",="17.23***",="15.63***"
="",="(0.670)",="(0.756)",="(0.771)",="(0.860)"

="Year=2006",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Year=2012",="3.157***",="3.082***",="",=""
="",="(0.442)",="(0.498)",="",=""

="Year=2018",="8.989***",="5.995***",="6.714***",="3.150***"
="",="(0.446)",="(0.503)",="(0.461)",="(0.514)"

="Work from Home: No",="",="",="0",="0"
="",="",="",="(.)",="(.)"

="Work from Home: Yes",="",="",="14.16***",="15.70***"
="",="",="",="(0.477)",="(0.532)"

="Constant",="21.38***",="16.40***",="24.87***",="20.54***"
="",="(1.381)",="(1.556)",="(1.618)",="(1.804)"

="Observations",="21190",="21193",="13320",="13317"
="AIC",="195351.7",="200480.9",="122133.8",="125016.1"
="ll",="-97664.8",="-100229.5",="-61055.9",="-62497.1"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
