
="",="(1)",="(2)",="(3)",="(4)"
="",="Analytic",="Interactive",="Analytic",="Interactive"

="Working Overtime: No",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Working Overtime: Yes",="4.798***",="4.046***",="5.127***",="5.530***"
="",="(0.323)",="(0.412)",="(0.413)",="(0.528)"

="Working under Pressure: Never",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Working under Pressure: Seldom",="9.985***",="9.701***",="10.10***",="8.824***"
="",="(0.812)",="(1.037)",="(0.995)",="(1.273)"

="Working under Pressure: Sometimes",="15.28***",="14.86***",="14.28***",="13.82***"
="",="(0.727)",="(0.928)",="(0.889)",="(1.138)"

="Working under Pressure: Frequently",="18.53***",="17.60***",="16.64***",="15.63***"
="",="(0.718)",="(0.916)",="(0.879)",="(1.125)"

="Monthly Wage",="0.0171***",="0.00817",="0.00968*",="-0.0101"
="",="(0.00407)",="(0.00519)",="(0.00521)",="(0.00665)"

="Age",="-0.197***",="-0.166***",="-0.184***",="-0.162***"
="",="(0.0144)",="(0.0184)",="(0.0175)",="(0.0224)"

="Education: Low",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Education: Middle",="12.40***",="15.55***",="10.17***",="11.56***"
="",="(0.608)",="(0.776)",="(0.691)",="(0.884)"

="Education: High",="25.03***",="25.25***",="19.02***",="15.89***"
="",="(0.641)",="(0.818)",="(0.759)",="(0.970)"

="Year=2006",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="Year=2012",="4.937***",="4.272***",="",=""
="",="(0.391)",="(0.498)",="",=""

="Year=2018",="9.568***",="7.065***",="8.778***",="5.783***"
="",="(0.398)",="(0.508)",="(0.406)",="(0.519)"

="Work from Home: No",="",="",="0",="0"
="",="",="",="(.)",="(.)"

="Work from Home: Yes",="",="",="11.29***",="13.66***"
="",="",="",="(0.429)",="(0.549)"

="Constant",="16.30***",="28.14***",="16.87***",="29.92***"
="",="(1.085)",="(1.385)",="(1.279)",="(1.635)"

="Observations",="21563",="21583",="13489",="13497"
="AIC",="193711.8",="204419.5",="120307.8",="127011.1"
="ll",="-96844.9",="-102198.8",="-60142.9",="-63494.6"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
