
="",="(1)",="(2)",="(3)",="(4)"
="",="First Child",="First Child",="First Child",="First Child"

="First Child",="",="",="",=""
="Residual",="0.644***",="",="0.654***",=""
="",="(0.0589)",="",="(0.0670)",=""

="In education",="0.304***",="",="0.416***",=""
="",="(0.0483)",="",="(0.0707)",=""

="Low",="1",="",="1",=""
="",="(2.40e-09)",="",="(8.88e-12)",=""

="Medium",="1.088",="",="1.075",=""
="",="(0.0677)",="",="(0.0817)",=""

="High",="1.243*",="",="1.487***",=""
="",="(0.155)",="",="(0.185)",=""

="Period: 1984-1999",="1",="1",="1",="1"
="",="(3.16e-11)",="(.)",="(1.62e-10)",="(2.45e-10)"

="Period: 2000-2007",="0.754***",="0.735***",="0.779***",="0.819***"
="",="(0.0554)",="(0.0573)",="(0.0567)",="(0.0632)"

="Period: 2008-2018",="0.733***",="0.700***",="0.741***",="0.776***"
="",="(0.0533)",="(0.0590)",="(0.0611)",="(0.0691)"

="Age: 20-24",="1",="1",="1",="1"
="",="(4.19e-10)",="(.)",="(4.17e-10)",="(5.97e-11)"

="Age: 25-29",="2.695***",="2.702***",="4.883***",="4.909***"
="",="(0.201)",="(0.200)",="(0.558)",="(0.564)"

="Age: 30-33",="3.029***",="3.039***",="7.090***",="7.222***"
="",="(0.327)",="(0.326)",="(0.861)",="(0.889)"

="Age: 34-39",="2.062***",="2.061***",="6.557***",="6.688***"
="",="(0.234)",="(0.230)",="(0.828)",="(0.862)"

="Age: 40-49",="0.191***",="0.191***",="1.479**",="1.496**"
="",="(0.0375)",="(0.0375)",="(0.248)",="(0.254)"

="0",="1",="1",="1",="1"
="",="(2.32e-10)",="(.)",="(3.77e-10)",="(1.72e-10)"

="1",="1.097",="1.099",="1.090",="1.099"
="",="(0.0692)",="(0.0679)",="(0.0831)",="(0.0827)"

="2 or more",="1.195***",="1.192***",="1.200**",="1.196**"
="",="(0.0732)",="(0.0728)",="(0.0863)",="(0.0861)"

="West Germany",="1",="1",="1",="1"
="",="(2.45e-18)",="(.)",="(3.14e-26)",="(5.37e-25)"

="East Germany",="1.279***",="1.281***",="0.950",="0.953"
="",="(0.0802)",="(0.0804)",="(0.0647)",="(0.0657)"

="Residual",="",="0.678***",="",="0.617***"
="",="",="(0.0675)",="",="(0.0636)"

="In education",="",="0.319***",="",="0.396***"
="",="",="(0.0553)",="",="(0.0652)"

="Low",="",="1",="",="1"
="",="",="(.)",="",="(6.28e-10)"

="Medium",="",="1.112",="",="0.987"
="",="",="(0.0790)",="",="(0.0764)"

="High",="",="1.275**",="",="1.232**"
="",="",="(0.134)",="",="(0.122)"

="Observations",="34388",="34388",="43150",="43150"
="AIC",="12977.5",="12970.3",="12699.7",="12706.3"
="ll",="-6472.7",="-6471.2",="-6333.9",="-6338.2"

="Exponentiated coefficients; Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
